Episode_ID,Title,Rating
S17E06,"S17.E6 ∙ Ginger Cow",7.7
S17E07,"S17.E7 ∙ Black Friday",8.9
S17E08,"S17.E8 ∙ A Song of Ass and Fire",8.8
S17E09,"S17.E9 ∙ Titties and Dragons",8.8
S17E10,"S17.E10 ∙ The Hobbit",8.4
S18E01,"S18.E1 ∙ Go Fund Yourself",7.7
S18E02,"S18.E2 ∙ Gluten Free Ebola",7.7
S18E03,"S18.E3 ∙ The Cissy",8.5
S18E04,"S18.E4 ∙ Handicar",7.3
S18E05,"S18.E5 ∙ The Magic Bush",7.9
S18E06,"S18.E6 ∙ Freemium Isn't Free",8.1
S18E07,"S18.E7 ∙ Grounded Vindaloop",9.1
S18E08,"S18.E8 ∙ Cock Magic",8.3
S18E09,"S18.E9 ∙ Rehash",7.3
S18E10,"S18.E10 ∙ #HappyHolograms",6.8
S19E01,"S19.E1 ∙ Stunning and Brave",7.6
S19E02,"S19.E2 ∙ Where My Country Gone?",8.1
S19E03,"S19.E3 ∙ The City Part of Town",7.6
S19E04,"S19.E4 ∙ You're Not Yelping",8.0
S19E05,"S19.E5 ∙ Safe Space",8.3
S19E06,"S19.E6 ∙ Tweek x Craig",8.1
S19E07,"S19.E7 ∙ Naughty Ninjas",8.2
S19E08,"S19.E8 ∙ Sponsored Content",8.7
S19E09,"S19.E9 ∙ Truth and Advertising",8.0
S19E10,"S19.E10 ∙ PC Principal Final Justice",7.8
S20E01,"S20.E1 ∙ Member Berries",7.8
S20E02,"S20.E2 ∙ Skank Hunt",8.1
S20E03,"S20.E3 ∙ The Damned",8.0
S20E04,"S20.E4 ∙ Wieners Out",7.8
S20E05,"S20.E5 ∙ Douche and a Danish",7.3
S20E06,"S20.E6 ∙ Fort Collins",7.3
S20E07,"S20.E7 ∙ Oh, Jeez",7.1
S20E08,"S20.E8 ∙ Members Only",7.3
S20E09,"S20.E9 ∙ Not Funny",7.3
S20E10,"S20.E10 ∙ The End of Serialization as We Know It",7.1
S21E01,"S21.E1 ∙ White People Renovating Houses",6.8
S21E02,"S21.E2 ∙ Put It Down",8.0
S21E03,"S21.E3 ∙ Holiday Special",7.6
S21E04,"S21.E4 ∙ Franchise Prequel",7.4
S21E05,"S21.E5 ∙ Hummels & Heroin",7.3
S21E06,"S21.E6 ∙ Sons A Witches",7.3
S21E07,"S21.E7 ∙ Doubling Down",7.5
S21E08,"S21.E8 ∙ Moss Piglets",7.0
S21E09,"S21.E9 ∙ Super Hard PCness",7.7
S21E10,"S21.E10 ∙ Splatty Tomato",7.2
S22E01,"S22.E1 ∙ Dead Kids",8.1
S22E02,"S22.E2 ∙ A Boy and a Priest",7.6
S22E03,"S22.E3 ∙ The Problem with a Poo",6.4
S22E04,"S22.E4 ∙ Tegridy Farms",7.8
S22E05,"S22.E5 ∙ The Scoots",8.0
S22E06,"S22.E6 ∙ Time to Get Cereal",7.7
S22E07,"S22.E7 ∙ Nobody Got Cereal?",7.7
S22E08,"S22.E8 ∙ Buddha Box",7.3
S22E09,"S22.E9 ∙ Unfulfilled",7.6
S22E10,"S22.E10 ∙ Bike Parade",7.6
S23E01,"S23.E1 ∙ Mexican Joker",7.4
S23E02,"S23.E2 ∙ Band in China",8.5
S23E03,"S23.E3 ∙ Shots!!!",7.4
S23E04,"S23.E4 ∙ Let Them Eat Goo",7.9
S23E05,"S23.E5 ∙ Tegridy Farms Halloween Special",7.1
S23E06,"S23.E6 ∙ Season Finale",7.1
S23E07,"S23.E7 ∙ Board Girls",8.1
S23E08,"S23.E8 ∙ Turd Burglars",7.5
S23E09,"S23.E9 ∙ Basic Cable",7.7
S23E10,"S23.E10 ∙ Christmas Snow",7.6
S24E01,"S24.E1 ∙ The Pandemic Special",8.3
S24E02,"S24.E2 ∙ South ParQ Vaccination Special",7.5
S25E01,"S25.E1 ∙ Pajama Day",7.2
S25E02,"S25.E2 ∙ The Big Fix",8.0
S25E03,"S25.E3 ∙ City People",7.3
S25E04,"S25.E4 ∙ Back to the Cold War",6.6
S25E05,"S25.E5 ∙ Help, My Teenager Hates Me!",7.6
S25E06,"S25.E6 ∙ Credigree Weed St. Patrick's Day Special",7.1
S26E01,"S26.E1 ∙ Cupid Ye",7.3
S26E02,"S26.E2 ∙ The Worldwide Privacy Tour",8.3
S26E03,"S26.E3 ∙ Japanese Toilet",7.7
S26E04,"S26.E4 ∙ Deep Learning",8.3
S26E05,"S26.E5 ∙ DikinBaus Hot Dogs",7.8
S26E06,"S26.E6 ∙ Spring Break",6.6
S27E01,"S27.E1 ∙ Sermon on the 'Mount",9.3
S27E02,"S27.E2 ∙ Got a Nut",8.3
S27E03,"S27.E3 ∙ Sickofancy",7.4
S27E04,"S27.E4 ∙ Wok Is Dead",7.6
S27E05,"S27.E5 ∙ Conflict of Interest",7.5
